Region,season,year,Metrics,values
Western North Island,Winter,1983,Cumulative_Intensity,0
Western North Island,Winter,1984,Number_MHW_days,0
Western North Island,Winter,1984,Nevents,0
Western North Island,Winter,1984,Mean_Intensity,0
Western North Island,Winter,1984,Maximum_Intensity,0
Western North Island,Winter,1984,Cumulative_Intensity,0
Western North Island,Winter,1985,Number_MHW_days,0
Western North Island,Winter,1985,Nevents,0
Western North Island,Winter,1985,Mean_Intensity,0
Western North Island,Winter,1985,Maximum_Intensity,0
Western North Island,Winter,1985,Cumulative_Intensity,0
Western North Island,Winter,1986,Number_MHW_days,0
Western North Island,Winter,1986,Nevents,0
Western North Island,Winter,1986,Mean_Intensity,0
Western North Island,Winter,1986,Maximum_Intensity,0
Western North Island,Winter,1986,Cumulative_Intensity,0
Western North Island,Winter,1987,Number_MHW_days,0
Western North Island,Winter,1987,Nevents,0
Western North Island,Winter,1987,Mean_Intensity,0
Western North Island,Winter,1987,Maximum_Intensity,0
Western North Island,Winter,1987,Cumulative_Intensity,0
Western North Island,Winter,1988,Number_MHW_days,0
Western North Island,Winter,1988,Nevents,0
Western North Island,Winter,1988,Mean_Intensity,0
Western North Island,Winter,1988,Maximum_Intensity,0
Western North Island,Winter,1988,Cumulative_Intensity,0
Western North Island,Winter,1989,Number_MHW_days,0.238095238
Western North Island,Winter,1989,Nevents,0.047619048
Western North Island,Winter,1989,Mean_Intensity,0.848579985
Western North Island,Winter,1989,Maximum_Intensity,1.1699
Western North Island,Winter,1989,Cumulative_Intensity,0.202042854
Western North Island,Winter,1990,Number_MHW_days,0
Western North Island,Winter,1990,Nevents,0
Western North Island,Winter,1990,Mean_Intensity,0
Western North Island,Winter,1990,Maximum_Intensity,0
Western North Island,Winter,1990,Cumulative_Intensity,0
Western North Island,Winter,1991,Number_MHW_days,0
Western North Island,Winter,1991,Nevents,0
Western North Island,Winter,1991,Mean_Intensity,0
Western North Island,Winter,1991,Maximum_Intensity,0
Western North Island,Winter,1991,Cumulative_Intensity,0
Western North Island,Winter,1992,Number_MHW_days,0
Western North Island,Winter,1992,Nevents,0
Western North Island,Winter,1992,Mean_Intensity,0
Western North Island,Winter,1992,Maximum_Intensity,0
Western North Island,Winter,1992,Cumulative_Intensity,0
Western North Island,Winter,1993,Number_MHW_days,0
Western North Island,Winter,1993,Nevents,0
Western North Island,Winter,1993,Mean_Intensity,0
Western North Island,Winter,1993,Maximum_Intensity,0
Western North Island,Winter,1993,Cumulative_Intensity,0
Western North Island,Winter,1994,Number_MHW_days,0
Western North Island,Winter,1994,Nevents,0
Western North Island,Winter,1994,Mean_Intensity,0
Western North Island,Winter,1994,Maximum_Intensity,0
Western North Island,Winter,1994,Cumulative_Intensity,0
Western North Island,Winter,1995,Number_MHW_days,0
Western North Island,Winter,1995,Nevents,0
Western North Island,Winter,1995,Mean_Intensity,0
Western North Island,Winter,1995,Maximum_Intensity,0
Western North Island,Winter,1995,Cumulative_Intensity,0
Western North Island,Winter,1996,Number_MHW_days,0
Western North Island,Winter,1996,Nevents,0
Western North Island,Winter,1996,Mean_Intensity,0
Western North Island,Winter,1996,Maximum_Intensity,0
Western North Island,Winter,1996,Cumulative_Intensity,0
Western North Island,Winter,1997,Number_MHW_days,0
Western North Island,Winter,1997,Nevents,0
Western North Island,Winter,1997,Mean_Intensity,0
Western North Island,Winter,1997,Maximum_Intensity,0
Western North Island,Winter,1997,Cumulative_Intensity,0
Western North Island,Winter,1998,Number_MHW_days,59.61904762
Western North Island,Winter,1998,Nevents,2.285714286
Western North Island,Winter,1998,Mean_Intensity,1.095378671
Western North Island,Winter,1998,Maximum_Intensity,1.547228588
Western North Island,Winter,1998,Cumulative_Intensity,65.24233446
Western North Island,Winter,1999,Number_MHW_days,42.71428571
Western North Island,Winter,1999,Nevents,2.476190476
Western North Island,Winter,1999,Mean_Intensity,1.151632705
Western North Island,Winter,1999,Maximum_Intensity,1.568871414
Western North Island,Winter,1999,Cumulative_Intensity,49.27422883
Western North Island,Winter,2000,Number_MHW_days,3.619047619
Western North Island,Winter,2000,Nevents,0.476190476
Western North Island,Winter,2000,Mean_Intensity,0.911117606
Western North Island,Winter,2000,Maximum_Intensity,1.085222226
Western North Island,Winter,2000,Cumulative_Intensity,3.28931428
Western North Island,Winter,2001,Number_MHW_days,31.04761905
Western North Island,Winter,2001,Nevents,2.523809524
Western North Island,Winter,2001,Mean_Intensity,0.973564733
